,Similarity,Emoji
0,0.9250559,📨
1,0.92410535,🚜
2,0.92310005,🗺
3,0.9195212,🕑
4,0.91426873,🕔
5,0.9093052,🕚
6,0.9086259,🟪
7,0.9064226,🔚
8,0.9059597,🛬
9,0.9051963,⚔
10,0.904813,🖥
11,0.90445346,🕰
12,0.90405023,🔢
13,0.9009925,📃
14,0.9006855,🔖
15,0.8991308,🏨
16,0.89835465,🕖
17,0.89796257,📂
18,0.8973551,📄
19,0.8971449,🔼
20,0.89671695,🕕
21,0.8966354,🕣
22,0.8910035,🕗
23,0.890899,⬆
24,0.89029276,🕓
25,0.8861308,📕
26,0.8858376,🟧
27,0.8857484,📜
28,0.88538885,🔷
29,0.8847192,🚐
30,0.87985027,🪁
31,0.8779608,🩺
32,0.8749422,⏸
33,0.87333417,🏦
34,0.8725473,📙
35,0.87254477,⛵
36,0.8720015,🐏
37,0.87160456,↪
38,0.87002635,🏑
39,0.8698318,🛫
40,0.86957705,☎
41,0.8659755,🛎
42,0.86375356,🎿
43,0.86360496,👕
44,0.86356044,📑
45,0.86228853,🔓
46,0.8617332,🚏
47,0.86109513,⌛
48,0.8601057,🏛
49,0.8579645,💢
50,0.85664266,⚾
51,0.8549218,📮
52,0.85051435,🎠
53,0.85037696,🕛
54,0.85026526,🛰
55,0.84932816,🍈
56,0.84712356,◾
57,0.84512824,⛅
58,0.8389902,🚢
59,0.8369241,🪙
60,0.835817,🆓
61,0.8347261,♈
62,0.8338254,🖇
63,0.8280208,🛡
64,0.8248004,🔃
65,0.8220617,ℹ
66,0.82031554,🚦
67,0.8193542,🚔
68,0.81926537,❕
69,0.8184775,📟
70,0.81712985,🧷
71,0.8164572,🚥
72,0.8108201,♠
73,0.8106754,🎦
74,0.8088583,✏
75,0.8080656,🦎
76,0.8074636,💶
77,0.8070277,✍
78,0.80668694,🌔
79,0.8064922,🏐
80,0.80516505,🛀
81,0.80230975,♦
82,0.80152416,🪳
83,0.8002167,🚛
84,0.80004597,🧈
85,0.7996335,🔅
86,0.798771,↔
87,0.7983874,⛓
88,0.7958435,🌖
89,0.7943642,🚁
90,0.7872858,🏢
91,0.7866948,☘
92,0.78080535,🪂
93,0.7755908,🦮
94,0.77419364,🧨
95,0.7738638,🌁
96,0.772982,🚡
97,0.7726953,🔱
98,0.7650679,🚒
99,0.7636094,🗡
100,0.7634346,🔮
101,0.7595531,💠
102,0.75535715,🦏
103,0.7543665,🏍
104,0.74911153,🛵
105,0.7476131,🎆
106,0.74129367,🫐
107,0.7412459,🎡
108,0.7399177,🗯
109,0.7390183,🚍
110,0.73822486,⛈
111,0.7375,🌥
112,0.7372539,🏏
113,0.7330184,🌦
114,0.73109484,🕹
115,0.7254084,⚖
116,0.72433347,🍇
117,0.72415745,🕌
118,0.71160126,♣
119,0.7100155,💹
120,0.70765316,🤽
121,0.70559984,🍦
122,0.70518804,⚕
123,0.703583,🎰
124,0.6949705,📓
125,0.6866957,🏭
126,0.6835833,📐
127,0.68288684,💳
128,0.6821145,✉
129,0.6791119,☔
130,0.66444874,🍧
131,0.63648844,☑
132,0.63606954,💄
133,0.635847,🔞
134,0.63249856,🌬
135,0.60289407,🆘
136,0.58617115,📫
137,0.57862,🐓
138,0.55417013,🪔
139,0.5191505,🪧
140,0.48396644,🧬
141,0.4086677,❎
