,Similarity,Emoji
0,0.9235442,🟤
1,0.9075682,🕡
2,0.9035804,🕣
3,0.8973247,🔢
4,0.89660704,🕚
5,0.892492,🏓
6,0.8870226,🟪
7,0.88573754,🏘
8,0.8828752,🛬
9,0.8779584,🖥
10,0.8702388,⚾
11,0.8695346,📨
12,0.8694446,🔉
13,0.86805296,🕢
14,0.8674723,⏯
15,0.8668551,🕛
16,0.8657985,💱
17,0.8615695,🚇
18,0.8608082,🕝
19,0.8604691,🕙
20,0.8602569,🕦
21,0.8585745,🗝
22,0.8581651,⏲
23,0.85780513,🕑
24,0.85680133,🕤
25,0.8556868,📀
26,0.85553706,⛏
27,0.85390043,⛵
28,0.85290223,🏛
29,0.8525589,🕔
30,0.8523607,🕧
31,0.8512982,🚔
32,0.8504325,🔚
33,0.84952235,🔭
34,0.8492831,🗺
35,0.84914947,📂
36,0.8471583,🚄
37,0.84489685,🔼
38,0.84207916,📄
39,0.8418025,🛳
40,0.8414028,🎛
41,0.83995456,📬
42,0.8376016,🕓
43,0.83567697,🚜
44,0.8354875,⛱
45,0.83402294,🕰
46,0.8327894,🗒
47,0.8325263,🕖
48,0.8292796,✳
49,0.82843435,🕘
50,0.8272307,⚜
51,0.8262674,🧪
52,0.8253478,⚒
53,0.8237575,🏗
54,0.8193328,🟦
55,0.81859255,⌛
56,0.81701434,🔬
57,0.8168045,◽
58,0.8167934,🏚
59,0.81354564,🩺
60,0.8132322,🚐
61,0.8126856,🍴
62,0.8106369,🏑
63,0.8104005,🆕
64,0.8090372,🏇
65,0.80874604,⏸
66,0.80810237,👷
67,0.80781674,🏊
68,0.8041357,🛠
69,0.8040682,🕐
70,0.8020035,⚔
71,0.79986966,🎚
72,0.79879904,🎲
73,0.79875267,↘
74,0.7979722,🎖
75,0.7935574,⏹
76,0.79330194,🕕
77,0.79008806,🚕
78,0.78970146,🚴
79,0.7894604,🕗
80,0.7892893,🚢
81,0.7882081,🛁
82,0.78768456,👕
83,0.7871354,📑
84,0.7870091,🏉
85,0.7861489,🏍
86,0.7860242,🥅
87,0.7859705,🟧
88,0.7851997,📋
89,0.7851256,🔲
90,0.785041,🎦
91,0.7845619,🚙
92,0.7844165,ℹ
93,0.7841468,🏨
94,0.7834448,✒
95,0.78265464,⏺
96,0.7823607,🏫
97,0.78200006,🛫
98,0.7809821,🅿
99,0.78080416,⛽
100,0.7783332,🚆
101,0.777426,💼
102,0.7755555,📃
103,0.7749251,🎟
104,0.7697326,🛩
105,0.76928353,↪
106,0.7682237,🧤
107,0.7614151,🆙
108,0.7595491,🛎
109,0.7579037,⬆
110,0.75682545,🚍
111,0.7560662,🆓
112,0.75526845,🚊
113,0.7551377,⚓
114,0.75427353,✏
115,0.7535138,🏦
116,0.7522427,🏰
117,0.75207686,🚦
118,0.7496189,🏁
119,0.74827564,💈
120,0.74763185,📥
121,0.7473053,🚌
122,0.745522,▫
123,0.74206066,⚖
124,0.74189705,✖
125,0.7403146,🚂
126,0.73951197,🔋
127,0.7384699,🚏
128,0.73584163,🐏
129,0.7352867,🟠
130,0.73497385,📘
131,0.73250896,⤴
132,0.72687435,👮
133,0.7247011,🌋
134,0.7240908,🐂
135,0.72394544,🏈
136,0.7233124,⬅
137,0.72263986,🛼
138,0.7168964,🌖
139,0.713616,🎾
140,0.7130805,▪
141,0.713066,🎿
142,0.7101878,⛪
143,0.7079527,📕
144,0.7023835,🧹
145,0.70122284,📟
146,0.69810545,⏩
147,0.697415,⛳
148,0.6973178,🔜
149,0.69601077,◾
150,0.69585097,🖼
151,0.69581413,🦈
152,0.6945635,⛷
153,0.69446504,⚠
154,0.6934076,🏸
155,0.69245964,🐬
156,0.689934,🔑
157,0.6857641,🚱
158,0.68565524,🎓
159,0.68417037,💻
160,0.67984176,🌏
161,0.67932075,🎰
162,0.677757,🏎
163,0.6758485,🔟
164,0.67361355,🏐
165,0.66864437,⏳
166,0.66590214,🐘
167,0.665792,🏥
168,0.6657461,💹
169,0.6613377,🎻
170,0.6612654,🧨
171,0.6605953,♠
172,0.65899146,🚡
173,0.6574493,☂
174,0.6573609,♈
175,0.6501529,🗳
176,0.6495398,🏒
177,0.64732397,🏙
178,0.6456205,🚁
179,0.6438033,📓
180,0.6368524,💠
181,0.6348664,🥊
182,0.6312101,🏠
183,0.62509656,☘
184,0.61931336,🏏
185,0.6168286,❇
186,0.61020195,🛰
187,0.5991595,🕹
188,0.5876405,⛈
189,0.57546574,®
190,0.57510245,↔
191,0.56995034,🎮
192,0.55955815,🌍
193,0.55943096,🏭
194,0.55729187,🪧
195,0.552201,🐯
196,0.49698633,🎭
197,0.43880796,🔗
