,Similarity,Emoji,Target Emoji
668,1.0000001,🥀,🥀
1377,0.7739011,❣️,🥀
129,0.7197505,🖐️,🥀
685,0.70571077,🍂,🥀
672,0.6930584,🌷,🥀
670,0.69108367,🌻,🥀
647,0.68667746,🦋,🥀
662,0.67633694,💐,🥀
1374,0.66831076,💞,🥀
669,0.6630372,🌺,🥀
130,0.655167,✋,🥀
604,0.6547908,🕊️,🥀
457,0.64727145,🧚‍♀️,🥀
671,0.64700377,🌼,🥀
1373,0.6386413,💓,🥀
314,0.6285353,💃,🥀
663,0.6258922,🌸,🥀
163,0.62550473,👐,🥀
599,0.61773187,🐣,🥀
1375,0.6158828,💕,🥀
25,1.0,🤪,🤪
37,0.8464335,🥸,🤪
21,0.8460596,😏,🤪
41,0.8356725,🙃,🤪
26,0.83234787,😝,🤪
28,0.83156294,🤭,🤪
44,0.8226219,🤨,🤪
68,0.8210429,🥴,🤪
9,0.819401,😉,🤪
51,0.8185798,🙄,🤪
56,0.8175223,😌,🤪
5,0.81616503,😅,🤪
52,0.8144898,😬,🤪
39,0.8060903,🤓,🤪
31,0.80408466,🤫,🤪
62,0.8013911,🤕,🤪
35,0.79372555,🤠,🤪
262,0.78974384,🤦‍♀️,🤪
38,0.78890675,😎,🤪
24,0.7884905,😜,🤪
455,1.0,🧚,🧚
457,0.8479208,🧚‍♀️,🧚
697,0.82399315,🌘,🧚
258,0.8133055,🙇‍♂️,🧚
486,0.8119541,👩‍❤️‍👨,🧚
587,0.8071898,🐻‍❄️,🧚
480,0.8048915,👬,🧚
693,0.80426484,🌔,🧚
838,0.8040513,🍯,🧚
485,0.7988733,💑,🧚
556,0.7954429,🦬,🧚
751,0.79193866,🫐,🧚
933,0.7911687,🪆,🧚
1047,0.7910226,🛴,🧚
436,0.7892465,👸,🧚
600,0.78894585,🐤,🧚
843,0.7876569,🍵,🧚
983,0.78722304,💒,🧚
764,0.7856983,🥬,🧚
574,0.7798978,🦏,🧚
57,1.0,😔,😔
94,0.9179441,😞,😔
77,0.9086448,☹️,😔
89,0.90393716,😢,😔
20,0.89821696,🥲,😔
58,0.8959897,😪,😔
95,0.8957572,😓,😔
88,0.88966346,😥,😔
93,0.8813728,😣,😔
76,0.8773867,🙁,😔
87,0.86775094,😰,😔
82,0.86537504,🥺,😔
46,0.85777813,😑,😔
75,0.851496,😟,😔
90,0.84944946,😭,😔
73,0.8481438,😕,😔
1378,0.84740674,💔,😔
92,0.8432228,😖,😔
97,0.83957636,😫,😔
96,0.8363829,😩,😔
20,1.0,🥲,🥲
77,0.90347934,☹️,🥲
57,0.89821696,😔,🥲
95,0.8819324,😓,🥲
94,0.87844163,😞,🥲
87,0.86894995,😰,🥲
46,0.867251,😑,🥲
76,0.86593485,🙁,🥲
58,0.8657125,😪,🥲
93,0.86496407,😣,🥲
65,0.86246705,🤧,🥲
82,0.861259,🥺,🥲
90,0.85880905,😭,🥲
92,0.85753167,😖,🥲
70,0.844337,😵‍💫,🥲
45,0.84371936,😐,🥲
97,0.842031,😫,🥲
56,0.8405588,😌,🥲
50,0.83501226,😒,🥲
47,0.8341076,😶,🥲
151,0.99999994,👇,👇
1471,0.7454023,⬇️,👇
148,0.66901195,👉,👇
40,0.666599,🧐,👇
1196,0.6659535,📚,👇
149,0.64852244,👆,👇
167,0.6360386,✍️,👇
1480,0.6327151,⤵️,👇
32,0.6321952,🤔,👇
1240,0.6294058,📌,👇
1549,0.625132,❓,👇
39,0.6055523,🤓,👇
1137,0.6032672,📢,👇
99,0.5945468,😡,👇
141,0.57174915,✌️,👇
1547,0.5687571,‼️,👇
51,0.5686991,🙄,👇
261,0.5603583,🤦‍♂️,👇
9,0.55826324,😉,👇
1339,0.5582478,💉,👇
13,1.0,😍,😍
12,0.845723,🥰,😍
14,0.8270043,🤩,😍
118,0.8159815,😻,😍
1379,0.73998475,❤️‍🔥,😍
1381,0.71972764,❤️,😍
1371,0.71359116,💖,😍
1369,0.7065031,💘,😍
139,0.70335895,🤌,😍
183,0.7031149,👀,😍
66,0.6950346,🥵,😍
82,0.6913266,🥺,😍
22,0.6815666,😋,😍
935,0.678286,♥️,😍
17,0.6770224,☺️,😍
56,0.6754579,😌,😍
1372,0.67340785,💗,😍
35,0.67027956,🤠,😍
119,0.66825837,😼,😍
53,0.6674611,😮‍💨,😍
90,1.0000002,😭,😭
96,0.8997914,😩,😭
97,0.88473773,😫,😭
20,0.85880905,🥲,😭
65,0.8568691,🤧,😭
93,0.85582393,😣,😭
82,0.8509744,🥺,😭
57,0.84944946,😔,😭
105,0.84799707,💀,😭
53,0.83972013,😮‍💨,😭
87,0.8363675,😰,😭
58,0.83332306,😪,😭
92,0.83318466,😖,😭
70,0.82911384,😵‍💫,😭
95,0.82860565,😓,😭
77,0.82540846,☹️,😭
98,0.8190741,😤,😭
94,0.8106473,😞,😭
62,0.8073091,🤕,😭
69,0.7882131,😵,😭
89,1.0,😢,😢
57,0.90393716,😔,😢
94,0.89220136,😞,😢
88,0.8805488,😥,😢
1378,0.8602825,💔,😢
58,0.8416976,😪,😢
77,0.8342029,☹️,😢
20,0.81603914,🥲,😢
95,0.8142901,😓,😢
76,0.79806376,🙁,😢
46,0.78655106,😑,😢
93,0.7858963,😣,😢
73,0.78385943,😕,😢
82,0.781188,🥺,😢
87,0.7787837,😰,😢
75,0.76828337,😟,😢
92,0.76036775,😖,😢
90,0.7559094,😭,😢
96,0.75212944,😩,😢
97,0.7519248,😫,😢
65,1.0,🤧,🤧
93,0.8739058,😣,🤧
92,0.86560315,😖,🤧
97,0.86522776,😫,🤧
20,0.86246705,🥲,🤧
96,0.85836655,😩,🤧
90,0.8568691,😭,🤧
77,0.8532592,☹️,🤧
87,0.84802985,😰,🤧
68,0.8477545,🥴,🤧
82,0.8462592,🥺,🤧
58,0.84580207,😪,🤧
70,0.84364724,😵‍💫,🤧
53,0.84275985,😮‍💨,🤧
95,0.8369438,😓,🤧
57,0.83496404,😔,🤧
61,0.82664096,🤒,🤧
69,0.8241606,😵,🤧
105,0.8227025,💀,🤧
76,0.8195293,🙁,🤧
5,1.0,😅,😅
52,0.8677252,😬,😅
28,0.8553183,🤭,😅
56,0.8483287,😌,😅
21,0.84570765,😏,😅
51,0.84460896,🙄,😅
260,0.8361245,🤦,😅
41,0.8341089,🙃,😅
46,0.8340924,😑,😅
39,0.8252033,🤓,😅
37,0.8250416,🥸,😅
44,0.8208228,🤨,😅
25,0.81616503,🤪,😅
3,0.81330067,😁,😅
50,0.81175894,😒,😅
47,0.808007,😶,😅
