,Similarity,Emoji,Target Emoji
668,0.9999999,🥀,🥀
1317,0.5669986,🏹,🥀
685,0.54585564,🍂,🥀
684,0.5432297,🍁,🥀
440,0.535382,👰,🥀
662,0.53341866,💐,🥀
1380,0.5319984,❤️‍🩹,🥀
1377,0.5306853,❣️,🥀
1776,0.51112336,🇵🇰,🥀
670,0.5065492,🌻,🥀
997,0.5001329,🌄,🥀
666,0.48939452,🏵️,🥀
457,0.48839888,🧚‍♀️,🥀
667,0.48563048,🌹,🥀
987,0.48558715,🕌,🥀
885,0.4822228,🪔,🥀
691,0.47999257,🌒,🥀
1128,0.47847775,📿,🥀
1521,0.4675819,☮️,🥀
680,0.4639054,🌾,🥀
25,0.99999994,🤪,🤪
26,0.7024692,😝,🤪
28,0.6965554,🤭,🤪
23,0.64179265,😛,🤪
68,0.63582295,🥴,🤪
6,0.63406855,🤣,🤪
51,0.6280925,🙄,🤪
24,0.62051964,😜,🤪
7,0.6014153,😂,🤪
126,0.5957916,🙊,🤪
41,0.5927777,🙃,🤪
5,0.58940583,😅,🤪
44,0.5880747,🤨,🤪
39,0.5819547,🤓,🤪
119,0.5809095,😼,🤪
53,0.57677174,😮‍💨,🤪
52,0.5698874,😬,🤪
43,0.5640454,🤐,🤪
9,0.5576094,😉,🤪
101,0.55254865,🤬,🤪
455,0.99999994,🧚,🧚
457,0.76490515,🧚‍♀️,🧚
635,0.7448117,🐡,🧚
436,0.74278486,👸,🧚
822,0.7352252,🥟,🧚
470,0.73203176,🧟,🧚
696,0.7282226,🌗,🧚
692,0.7257587,🌓,🧚
600,0.72157323,🐤,🧚
901,0.7164221,🎳,🧚
360,0.71155494,🤽,🧚
239,0.7092905,🙎,🧚
285,0.7091285,🧎‍♂️,🧚
469,0.70506305,🧞‍♀️,🧚
456,0.6990231,🧚‍♂️,🧚
752,0.694279,🥝,🧚
1118,0.6928992,🩰,🧚
999,0.68751776,🌆,🧚
574,0.68692213,🦏,🧚
819,0.68477005,🍥,🧚
57,0.99999994,😔,😔
94,0.86032057,😞,😔
95,0.8565596,😓,😔
77,0.8194602,☹️,😔
58,0.8166947,😪,😔
20,0.81157607,🥲,😔
76,0.7994398,🙁,😔
93,0.7966706,😣,😔
82,0.7837271,🥺,😔
73,0.7692279,😕,😔
90,0.7676918,😭,😔
88,0.76459104,😥,😔
89,0.757091,😢,😔
65,0.74420285,🤧,😔
122,0.7270369,😿,😔
87,0.7151863,😰,😔
62,0.70978004,🤕,😔
96,0.7048099,😩,😔
97,0.7019092,😫,😔
61,0.6975735,🤒,😔
20,0.9999999,🥲,🥲
82,0.81663764,🥺,🥲
90,0.81331,😭,🥲
57,0.81157607,😔,🥲
77,0.80130756,☹️,🥲
95,0.76969796,😓,🥲
68,0.7515333,🥴,🥲
58,0.74884915,😪,🥲
65,0.7422133,🤧,🥲
96,0.7353187,😩,🥲
122,0.73161036,😿,🥲
41,0.7313957,🙃,🥲
93,0.7284643,😣,🥲
70,0.7282637,😵‍💫,🥲
92,0.726696,😖,🥲
97,0.7244753,😫,🥲
94,0.7195188,😞,🥲
5,0.7134652,😅,🥲
61,0.69850343,🤒,🥲
62,0.6933003,🤕,🥲
151,0.99999994,👇,👇
1471,0.6165383,⬇️,👇
1480,0.6010384,⤵️,👇
39,0.47884804,🤓,👇
1501,0.4579283,⏬,👇
149,0.45666945,👆,👇
1400,0.45402512,💬,👇
1298,0.44834924,🔎,👇
1226,0.44077393,📝,👇
1165,0.43326214,📞,👇
1500,0.43055925,🔽,👇
148,0.4283914,👉,👇
1467,0.42832986,⬆️,👇
1196,0.42520845,📚,👇
1395,0.42327335,💢,👇
1559,0.41824013,1️⃣,👇
1238,0.41288096,📊,👇
1240,0.41150522,📌,👇
899,0.4100182,🎾,👇
40,0.40692538,🧐,👇
13,0.99999994,😍,😍
12,0.7660158,🥰,😍
14,0.7582888,🤩,😍
1129,0.7468281,💄,😍
118,0.6874858,😻,😍
1381,0.62095904,❤️,😍
544,0.58185756,🐈‍⬛,😍
139,0.5572,🤌,😍
179,0.5532564,🫀,😍
82,0.5405058,🥺,😍
34,0.53802794,🤤,😍
18,0.53455025,😚,😍
116,0.5330673,😸,😍
430,0.5279355,🥷,😍
78,0.5271243,😮,😍
835,0.5197842,🍬,😍
119,0.5197142,😼,😍
1370,0.5142351,💝,😍
144,0.5132427,🤟,😍
184,0.5088729,👅,😍
90,1.0000001,😭,😭
96,0.8256093,😩,😭
82,0.8239939,🥺,😭
20,0.81331,🥲,😭
65,0.7816181,🤧,😭
57,0.7676918,😔,😭
97,0.76565325,😫,😭
122,0.7577631,😿,😭
93,0.752154,😣,😭
95,0.75011635,😓,😭
69,0.729739,😵,😭
77,0.7258546,☹️,😭
58,0.72583807,😪,😭
94,0.71397173,😞,😭
87,0.7088006,😰,😭
123,0.7076937,😾,😭
70,0.70537794,😵‍💫,😭
85,0.7050167,😧,😭
92,0.70252776,😖,😭
84,0.7015669,😦,😭
89,0.9999999,😢,😢
58,0.77462995,😪,😢
88,0.7708283,😥,😢
77,0.7616042,☹️,😢
94,0.7603798,😞,😢
57,0.757091,😔,😢
95,0.6886128,😓,😢
73,0.6854284,😕,😢
75,0.6797022,😟,😢
93,0.6667276,😣,😢
1378,0.65508384,💔,😢
90,0.6343129,😭,😢
82,0.63049185,🥺,😢
87,0.6302218,😰,😢
20,0.6161119,🥲,😢
76,0.59452724,🙁,😢
92,0.5901395,😖,😢
96,0.57504493,😩,😢
97,0.5708218,😫,😢
260,0.55428916,🤦,😢
65,0.9999999,🤧,🤧
90,0.7816181,😭,🤧
82,0.7507329,🥺,🤧
57,0.74420285,😔,🤧
20,0.7422133,🥲,🤧
93,0.72457814,😣,🤧
