,Similarity,Emoji,Target Emoji
0,1.0,😀,😀
1,0.8472072,😃,😀
2,0.8224339,😄,😀
3,0.8036399,😁,😀
9,0.77355874,😉,😀
10,0.7718707,😊,😀
5,0.7483132,😅,😀
21,0.7340065,😏,😀
28,0.7334101,🤭,😀
39,0.72477245,🤓,😀
25,0.7146326,🤪,😀
40,0.7041148,🧐,😀
124,0.70297676,🙈,😀
52,0.69605905,😬,😀
32,0.68583703,🤔,😀
264,0.6816753,🤷‍♂️,😀
17,0.680495,☺️,😀
262,0.6793402,🤦‍♀️,😀
26,0.67369527,😝,😀
24,0.67285264,😜,😀
1,1.0000001,😃,😃
0,0.8472072,😀,😃
3,0.8237565,😁,😃
10,0.8124743,😊,😃
21,0.78101337,😏,😃
39,0.77944565,🤓,😃
5,0.7697784,😅,😃
17,0.7692004,☺️,😃
9,0.76248395,😉,😃
139,0.74555546,🤌,😃
8,0.7444098,🙂,😃
28,0.74295413,🤭,😃
2,0.739676,😄,😃
35,0.73821324,🤠,😃
146,0.7295259,🤙,😃
38,0.7250769,😎,😃
41,0.7227463,🙃,😃
52,0.7178487,😬,😃
26,0.7154022,😝,😃
44,0.709086,🤨,😃
2,1.0,😄,😄
0,0.8224339,😀,😄
86,0.7860562,😨,😄
3,0.7848685,😁,😄
5,0.76906836,😅,😄
124,0.7473739,🙈,😄
1,0.739676,😃,😄
52,0.7228297,😬,😄
28,0.7187967,🤭,😄
39,0.70175093,🤓,😄
6,0.7014965,🤣,😄
21,0.6962414,😏,😄
4,0.68150115,😆,😄
10,0.66656744,😊,😄
32,0.66313195,🤔,😄
26,0.6586178,😝,😄
56,0.6572028,😌,😄
25,0.65311486,🤪,😄
41,0.65215313,🙃,😄
9,0.64344984,😉,😄
3,1.0000001,😁,😁
1,0.8237565,😃,😁
5,0.81330067,😅,😁
0,0.8036399,😀,😁
21,0.80260694,😏,😁
28,0.80075943,🤭,😁
39,0.79985195,🤓,😁
10,0.791828,😊,😁
56,0.78934056,😌,😁
9,0.7881541,😉,😁
2,0.7848685,😄,😁
52,0.7846148,😬,😁
8,0.7596771,🙂,😁
41,0.75608665,🙃,😁
25,0.7523397,🤪,😁
26,0.7497787,😝,😁
262,0.7491107,🤦‍♀️,😁
24,0.74434185,😜,😁
17,0.7406334,☺️,😁
46,0.7303957,😑,😁
4,1.0,😆,😆
6,0.81361806,🤣,😆
7,0.7692729,😂,😆
5,0.7128522,😅,😆
28,0.7115137,🤭,😆
26,0.70737827,😝,😆
25,0.70116305,🤪,😆
2,0.68150115,😄,😆
0,0.6728423,😀,😆
117,0.6645584,😹,😆
126,0.6533723,🙊,😆
124,0.6519469,🙈,😆
23,0.64808685,😛,😆
44,0.63423276,🤨,😆
3,0.6292355,😁,😆
68,0.62693036,🥴,😆
24,0.625019,😜,😆
21,0.6245784,😏,😆
43,0.6186486,🤐,😆
85,0.6132112,😧,😆
5,1.0,😅,😅
52,0.8677252,😬,😅
28,0.8553183,🤭,😅
56,0.8483287,😌,😅
21,0.84570765,😏,😅
51,0.84460896,🙄,😅
260,0.8361245,🤦,😅
41,0.8341089,🙃,😅
46,0.8340924,😑,😅
39,0.8252033,🤓,😅
37,0.8250416,🥸,😅
44,0.8208228,🤨,😅
25,0.81616503,🤪,😅
3,0.81330067,😁,😅
50,0.81175894,😒,😅
47,0.808007,😶,😅
26,0.80517954,😝,😅
7,0.80506366,😂,😅
124,0.80171037,🙈,😅
262,0.8010688,🤦‍♀️,😅
6,0.99999994,🤣,🤣
4,0.81361806,😆,🤣
7,0.77914006,😂,🤣
5,0.77893996,😅,🤣
26,0.7537769,😝,🤣
25,0.7354974,🤪,🤣
124,0.7323739,🙈,🤣
28,0.7209481,🤭,🤣
51,0.7122539,🙄,🤣
260,0.70712936,🤦,🤣
2,0.7014965,😄,🤣
68,0.69722515,🥴,🤣
117,0.6964115,😹,🤣
62,0.68865997,🤕,🤣
262,0.6867854,🤦‍♀️,🤣
126,0.68512803,🙊,🤣
44,0.68278533,🤨,🤣
21,0.67463773,😏,🤣
85,0.6700738,😧,🤣
52,0.6642716,😬,🤣
7,1.0,😂,😂
5,0.80506366,😅,😂
6,0.77914006,🤣,😂
4,0.7692729,😆,😂
260,0.7656355,🤦,😂
26,0.7544606,😝,😂
117,0.72884035,😹,😂
262,0.72676957,🤦‍♀️,😂
261,0.7229708,🤦‍♂️,😂
51,0.72139674,🙄,😂
50,0.72115296,😒,😂
46,0.72007495,😑,😂
28,0.71952736,🤭,😂
62,0.7169538,🤕,😂
85,0.7168179,😧,😂
43,0.71647483,🤐,😂
44,0.7133289,🤨,😂
25,0.7116844,🤪,😂
21,0.7111399,😏,😂
68,0.71064025,🥴,😂
8,1.0,🙂,🙂
41,0.8120972,🙃,🙂
56,0.7762278,😌,🙂
39,0.76083314,🤓,🙂
3,0.7596771,😁,🙂
10,0.75788796,😊,🙂
17,0.75404114,☺️,🙂
5,0.7529232,😅,🙂
52,0.7490644,😬,🙂
21,0.74761564,😏,🙂
1,0.7444098,😃,🙂
9,0.7383388,😉,🙂
62,0.72469515,🤕,🙂
699,0.7188453,🌚,🙂
76,0.71316296,🙁,🙂
73,0.7124482,😕,🙂
28,0.7107006,🤭,🙂
25,0.70945835,🤪,🙂
46,0.70214725,😑,🙂
77,0.6960498,☹️,🙂
9,0.9999998,😉,😉
25,0.819401,🤪,😉
39,0.79811525,🤓,😉
