,Similarity,Emoji,Target Emoji
0,1.0,😀,😀
3,0.670085,😁,😀
1,0.6450444,😃,😀
5,0.61365426,😅,😀
38,0.5828881,😎,😀
7,0.56201386,😂,😀
2,0.54113215,😄,😀
10,0.53371924,😊,😀
249,0.5205538,💁‍♂️,😀
4,0.48619848,😆,😀
6,0.48388883,🤣,😀
39,0.48019162,🤓,😀
17,0.47579682,☺️,😀
146,0.47486094,🤙,😀
8,0.46716815,🙂,😀
154,0.46505496,👍,😀
9,0.46251094,😉,😀
1046,0.44654053,🚲,😀
35,0.43875402,🤠,😀
129,0.43789807,🖐️,😀
1,1.0,😃,😃
3,0.6584723,😁,😃
10,0.6537141,😊,😃
0,0.6450444,😀,😃
5,0.579127,😅,😃
129,0.5405273,🖐️,😃
8,0.5329825,🙂,😃
35,0.525562,🤠,😃
17,0.52530736,☺️,😃
9,0.5220156,😉,😃
51,0.5189921,🙄,😃
115,0.5125282,😺,😃
27,0.51108086,🤗,😃
124,0.50996715,🙈,😃
2,0.5088218,😄,😃
7,0.5037687,😂,😃
251,0.49239045,🙋,😃
253,0.4922737,🙋‍♀️,😃
252,0.488803,🙋‍♂️,😃
39,0.48074132,🤓,😃
2,0.99999994,😄,😄
86,0.6818781,😨,😄
6,0.6018572,🤣,😄
3,0.5792552,😁,😄
4,0.56884867,😆,😄
0,0.54113215,😀,😄
5,0.53878695,😅,😄
7,0.5357499,😂,😄
1,0.5088218,😃,😄
10,0.50761825,😊,😄
124,0.46845824,🙈,😄
849,0.46708003,🍺,😄
52,0.46339262,😬,😄
39,0.4570746,🤓,😄
76,0.44616327,🙁,😄
28,0.4167876,🤭,😄
51,0.41087046,🙄,😄
250,0.407967,💁‍♀️,😄
262,0.40771797,🤦‍♀️,😄
249,0.40415427,💁‍♂️,😄
3,1.0,😁,😁
5,0.77393466,😅,😁
10,0.75372076,😊,😁
9,0.74341744,😉,😁
17,0.6912706,☺️,😁
7,0.67856014,😂,😁
0,0.670085,😀,😁
1,0.6584723,😃,😁
38,0.6544053,😎,😁
56,0.64546555,😌,😁
28,0.62861717,🤭,😁
21,0.62318015,😏,😁
8,0.62300724,🙂,😁
39,0.6032154,🤓,😁
249,0.5893473,💁‍♂️,😁
2,0.5792552,😄,😁
129,0.5790163,🖐️,😁
32,0.5674636,🤔,😁
51,0.56210107,🙄,😁
4,0.56192946,😆,😁
4,0.99999994,😆,😆
6,0.76022416,🤣,😆
7,0.6781384,😂,😆
5,0.6122742,😅,😆
2,0.56884867,😄,😆
3,0.56192946,😁,😆
23,0.5390563,😛,😆
117,0.53508687,😹,😆
28,0.5306579,🤭,😆
26,0.51516205,😝,😆
54,0.4924357,🤥,😆
0,0.48619848,😀,😆
25,0.4828788,🤪,😆
126,0.48088706,🙊,😆
262,0.474598,🤦‍♀️,😆
9,0.46668774,😉,😆
249,0.45718664,💁‍♂️,😆
24,0.4557517,😜,😆
116,0.45291406,😸,😆
261,0.4375484,🤦‍♂️,😆
5,1.0,😅,😅
7,0.80683434,😂,😅
3,0.77393466,😁,😅
41,0.7226975,🙃,😅
20,0.7134652,🥲,😅
37,0.71210957,🥸,😅
39,0.6992996,🤓,😅
6,0.6991842,🤣,😅
262,0.6964525,🤦‍♀️,😅
52,0.68513215,😬,😅
56,0.67771554,😌,😅
51,0.67568123,🙄,😅
28,0.67560434,🤭,😅
44,0.6642914,🤨,😅
85,0.66009563,😧,😅
263,0.656594,🤷,😅
265,0.65646875,🤷‍♀️,😅
249,0.65352875,💁‍♂️,😅
68,0.64937204,🥴,😅
9,0.64815307,😉,😅
6,1.0000001,🤣,🤣
7,0.8224164,😂,🤣
4,0.76022416,😆,🤣
26,0.70869094,😝,🤣
5,0.6991842,😅,🤣
117,0.6549653,😹,🤣
262,0.6382955,🤦‍♀️,🤣
54,0.63707703,🤥,🤣
25,0.63406855,🤪,🤣
85,0.63132644,😧,🤣
126,0.61980367,🙊,🤣
51,0.613454,🙄,🤣
28,0.60852486,🤭,🤣
124,0.6056785,🙈,🤣
2,0.6018572,😄,🤣
23,0.59700924,😛,🤣
150,0.5901612,🖕,🤣
68,0.58866787,🥴,🤣
116,0.5863541,😸,🤣
248,0.5845133,💁,🤣
7,1.0,😂,😂
6,0.8224164,🤣,😂
5,0.80683434,😅,😂
85,0.69157326,😧,😂
117,0.68543303,😹,😂
54,0.6832921,🤥,😂
3,0.67856014,😁,😂
4,0.6781384,😆,😂
533,0.6753645,🦧,😂
51,0.6705877,🙄,😂
249,0.67036724,💁‍♂️,😂
246,0.65841794,🙆‍♂️,😂
262,0.6546557,🤦‍♀️,😂
37,0.6526426,🥸,😂
245,0.65011543,🙆,😂
126,0.6381526,🙊,😂
1010,0.63501453,🗿,😂
68,0.6345155,🥴,😂
277,0.6310134,🚶‍♀️,😂
43,0.62772536,🤐,😂
8,1.0,🙂,🙂
10,0.68423665,😊,🙂
41,0.6425168,🙃,🙂
17,0.6332148,☺️,🙂
3,0.62300724,😁,🙂
5,0.6026189,😅,🙂
56,0.5774549,😌,🙂
50,0.5527336,😒,🙂
27,0.5506144,🤗,🙂
47,0.54296345,😶,🙂
699,0.53568643,🌚,🙂
1,0.5329825,😃,🙂
76,0.52318835,🙁,🙂
20,0.5228184,🥲,🙂
11,0.5148968,😇,🙂
9,0.51401377,😉,🙂
68,0.50542307,🥴,🙂
51,0.50537056,🙄,🙂
21,0.49965447,😏,🙂
57,0.48721784,😔,🙂
9,0.99999994,😉,😉
3,0.74341744,😁,😉
24,0.6784133,😜,😉
10,0.6745819,😊,😉
21,0.6482061,😏,😉
5,0.64815307,😅,😉
154,0.6337459,👍,😉
249,0.6256674,💁‍♂️,😉
32,0.62015855,🤔,😉
17,0.61845464,☺️,😉
28,0.61777914,🤭,😉
264,0.61350274,🤷‍♂️,😉
263,0.6114703,🤷,😉
15,0.592848,😘,😉
40,0.5911397,🧐,😉
115,0.5903591,😺,😉
31,0.5875016,🤫,😉
51,0.574741,🙄,😉
26,0.57270026,😝,😉
23,0.56594944,😛,😉
10,1.0000001,😊,😊
17,0.81494963,☺️,😊
3,0.75372076,😁,😊
27,0.7043765,🤗,😊
8,0.68423665,🙂,😊
18,0.67490077,😚,😊
9,0.6745819,😉,😊
1,0.6537141,😃,😊
253,0.6467774,🙋‍♀️,😊
5,0.63713956,😅,😊
129,0.6183388,🖐️,😊
12,0.60927546,🥰,😊
116,0.6067054,😸,😊
775,0.6016376,🥐,😊
252,0.59762275,🙋‍♂️,😊
56,0.5876875,😌,😊
251,0.587388,🙋,😊
115,0.5859214,😺,😊
714,0.584307,🌥️,😊
39,0.5837506,🤓,😊
11,0.9999999,😇,😇
10,0.5364688,😊,😇
166,0.52594274,🙏,😇
58,0.5217155,😪,😇
